a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
0.806451613,0.76516129,0.734193548,0.865806452,0.708387097,0.749677419,0.744516129,0.716129032,0.705806452,0.76,0.403870968,0.349677419,0.409032258,0.329032258,0.36516129,0.36,0.349677419,0.388387097,0.298064516,0.437419355,0.68516129,0.721290323,0.569032258,0.790967742,0.651612903,0.775483871,0.762580645,0.584516129,0.736774194,0.579354839
0.806451613,0.68,0.68516129,0.809032258,0.67483871,0.726451613,0.710967742,0.698064516,0.625806452,0.718709677,0.403870968,0.349677419,0.396129032,0.329032258,0.36516129,0.36,0.344516129,0.388387097,0.300645161,0.43483871,0.587096774,0.695483871,0.507096774,0.762580645,0.633548387,0.741935484,0.734193548,0.522580645,0.705806452,0.543225806
0.76516129,0.59483871,0.602580645,0.723870968,0.630967742,0.667096774,0.659354839,0.669677419,0.561290323,0.638709677,0.398709677,0.349677419,0.390967742,0.329032258,0.357419355,0.357419355,0.339354839,0.385806452,0.300645161,0.429677419,0.509677419,0.664516129,0.421935484,0.734193548,0.584516129,0.708387097,0.705806452,0.458064516,0.643870968,0.486451613
0.68,0.486451613,0.538064516,0.630967742,0.576774194,0.59483871,0.6,0.623225806,0.499354839,0.550967742,0.393548387,0.349677419,0.385806452,0.329032258,0.357419355,0.362580645,0.339354839,0.378064516,0.308387097,0.429677419,0.44,0.625806452,0.378064516,0.700645161,0.548387097,0.669677419,0.672258065,0.393548387,0.576774194,0.44
0.615483871,0.421935484,0.486451613,0.532903226,0.543225806,0.522580645,0.532903226,0.587096774,0.432258065,0.489032258,0.388387097,0.349677419,0.378064516,0.329032258,0.357419355,0.36,0.336774194,0.378064516,0.308387097,0.427096774,0.378064516,0.587096774,0.310967742,0.646451613,0.509677419,0.625806452,0.628387097,0.334193548,0.527741935,0.401290323
0.530322581,0.36516129,0.447741935,0.429677419,0.522580645,0.437419355,0.486451613,0.545806452,0.367741935,0.450322581,0.388387097,0.349677419,0.372903226,0.329032258,0.344516129,0.36,0.334193548,0.378064516,0.303225806,0.429677419,0.331612903,0.530322581,0.269677419,0.579354839,0.468387097,0.579354839,0.592258065,0.272258065,0.455483871,0.362580645
0.465806452,0.316129032,0.388387097,0.383225806,0.496774194,0.401290323,0.44,0.52516129,0.316129032,0.414193548,0.380645161,0.349677419,0.372903226,0.329032258,0.341935484,0.36,0.334193548,0.372903226,0.303225806,0.429677419,0.308387097,0.491612903,0.254193548,0.543225806,0.421935484,0.522580645,0.550967742,0.254193548,0.414193548,0.344516129
0.398709677,0.246451613,0.35483871,0.316129032,0.465806452,0.36516129,0.421935484,0.507096774,0.28,0.367741935,0.380645161,0.35483871,0.36516129,0.329032258,0.341935484,0.357419355,0.334193548,0.36516129,0.303225806,0.414193548,0.28,0.465806452,0.238709677,0.486451613,0.398709677,0.489032258,0.496774194,0.228387097,0.362580645,0.318709677
0.357419355,0.212903226,0.336774194,0.269677419,0.44,0.36516129,0.393548387,0.501935484,0.256774194,0.339354839,0.375483871,0.352258065,0.362580645,0.329032258,0.341935484,0.36516129,0.334193548,0.372903226,0.308387097,0.414193548,0.261935484,0.427096774,0.220645161,0.450322581,0.36,0.465806452,0.452903226,0.19483871,0.336774194,0.295483871
0.310967742,0.184516129,0.329032258,0.189677419,0.424516129,0.349677419,0.383225806,0.501935484,0.236129032,0.303225806,0.36516129,0.339354839,0.357419355,0.329032258,0.339354839,0.36516129,0.334193548,0.36516129,0.308387097,0.414193548,0.249032258,0.383225806,0.220645161,0.411612903,0.321290323,0.421935484,0.416774194,0.176774194,0.264516129,0.282580645
0.300645161,0.153548387,0.329032258,0.166451613,0.409032258,0.36,0.372903226,0.507096774,0.233548387,0.290322581,0.36,0.341935484,0.339354839,0.316129032,0.339354839,0.36,0.334193548,0.362580645,0.308387097,0.409032258,0.241290323,0.362580645,0.218064516,0.385806452,0.267096774,0.383225806,0.383225806,0.166451613,0.264516129,0.261935484
0.308387097,0.145806452,0.339354839,0.140645161,0.403870968,0.390967742,0.370322581,0.51483871,0.233548387,0.287741935,0.36,0.341935484,0.336774194,0.326451613,0.339354839,0.36516129,0.331612903,0.362580645,0.316129032,0.401290323,0.249032258,0.331612903,0.218064516,0.339354839,0.254193548,0.362580645,0.352258065,0.161290323,0.236129032,0.254193548
0.316129032,0.145806452,0.357419355,0.122580645,0.406451613,0.411612903,0.367741935,0.538064516,0.256774194,0.287741935,0.357419355,0.357419355,0.334193548,0.326451613,0.331612903,0.36,0.331612903,0.36,0.316129032,0.401290323,0.256774194,0.305806452,0.228387097,0.313548387,0.249032258,0.36,0.336774194,0.161290323,0.218064516,0.249032258
