a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
0.735982893,0.74119856,0.68121838,0.730767225,0.657747875,0.686434048,0.691649716,0.704688885,0.702081051,0.730767225,0.936786105,0.90027643,0.915923434,0.874198091,0.882021593,0.905492098,0.939393939,0.936786105,0.908099932,0.910707766,0.790747405,0.746414228,0.842904084,0.735982893,0.785531737,0.858551087,0.772492568,0.835080582,0.801178741,0.795963073
0.735982893,0.782923903,0.712512387,0.803786575,0.68121838,0.717728055,0.725551557,0.712512387,0.7672769,0.762061232,0.876805925,0.848119752,0.871590257,0.845511918,0.882021593,0.848119752,0.889845095,0.879413759,0.876805925,0.876805925,0.837688416,0.772492568,0.835080582,0.751629896,0.801178741,0.858551087,0.793355239,0.850727586,0.835080582,0.790747405
0.759453398,0.798570907,0.743806394,0.842904084,0.699473218,0.733375059,0.751629896,0.728159391,0.7672769,0.780316069,0.822041412,0.790747405,0.811610077,0.819433578,0.82725708,0.806394409,0.801178741,0.84029625,0.835080582,0.848119752,0.871590257,0.793355239,0.811610077,0.759453398,0.814217911,0.861158921,0.803786575,0.842904084,0.863766755,0.777708236
0.782923903,0.806394409,0.746414228,0.895060763,0.712512387,0.746414228,0.75423773,0.749022062,0.793355239,0.793355239,0.772492568,0.74119856,0.782923903,0.785531737,0.775100402,0.720335889,0.759453398,0.803786575,0.790747405,0.824649246,0.874198091,0.816825745,0.780316069,0.780316069,0.82725708,0.861158921,0.819433578,0.842904084,0.892452929,0.756845564
0.795963073,0.809002243,0.746414228,0.895060763,0.712512387,0.74119856,0.7672769,0.749022062,0.793355239,0.790747405,0.717728055,0.712512387,0.730767225,0.74119856,0.722943723,0.660355709,0.735982893,0.756845564,0.759453398,0.819433578,0.863766755,0.816825745,0.730767225,0.793355239,0.829864914,0.858551087,0.822041412,0.809002243,0.895060763,0.730767225
0.777708236,0.803786575,0.74119856,0.90027643,0.712512387,0.717728055,0.759453398,0.74119856,0.782923903,0.780316069,0.683826214,0.665571376,0.662963542,0.689041882,0.676002712,0.626453867,0.722943723,0.715120221,0.717728055,0.832472748,0.832472748,0.82725708,0.68121838,0.793355239,0.832472748,0.84029625,0.82725708,0.803786575,0.90027643,0.715120221
0.775100402,0.775100402,0.720335889,0.897668596,0.704688885,0.66817921,0.746414228,0.725551557,0.749022062,0.772492568,0.626453867,0.6212382,0.626453867,0.686434048,0.634277369,0.602983362,0.709904553,0.691649716,0.676002712,0.832472748,0.793355239,0.82725708,0.644708705,0.798570907,0.835080582,0.814217911,0.832472748,0.788139571,0.902884264,0.691649716
0.728159391,0.715120221,0.68121838,0.861158921,0.69425755,0.610806864,0.730767225,0.69425755,0.717728055,0.743806394,0.582120691,0.576905023,0.569081521,0.686434048,0.60819903,0.574297189,0.69425755,0.652532207,0.649924373,0.772492568,0.733375059,0.822041412,0.584728524,0.803786575,0.822041412,0.803786575,0.829864914,0.74119856,0.90027643,0.660355709
0.678610546,0.670787044,0.626453867,0.824649246,0.683826214,0.561258019,0.699473218,0.652532207,0.66817921,0.704688885,0.540395348,0.532571846,0.532571846,0.696865384,0.566473687,0.498670005,0.642100871,0.584728524,0.616022532,0.769884734,0.676002712,0.822041412,0.501277839,0.801178741,0.806394409,0.785531737,0.809002243,0.686434048,0.874198091,0.629061701
0.634277369,0.631669535,0.569081521,0.743806394,0.655140041,0.485630835,0.68121838,0.6212382,0.600375528,0.642100871,0.485630835,0.483023001,0.511709174,0.696865384,0.514317008,0.415219319,0.597767694,0.548218849,0.569081521,0.769884734,0.587336358,0.814217911,0.44912116,0.798570907,0.793355239,0.743806394,0.780316069,0.642100871,0.835080582,0.576905023
