LABEL	COMPOUND	RESULT	UNIT
ECHANTILLON 0 - EXPERIENCE 1	Aluminium (Al)	94	ug/L
ECHANTILLON 0 - EXPERIENCE 1	Arsenic (As)	1.5	ug/L
ECHANTILLON 0 - EXPERIENCE 1	Cadmium (Cd)	1.9	ug/L
ECHANTILLON 0 - EXPERIENCE 1	Chrome Total (Cr)	2.2	ug/L
ECHANTILLON 0 - EXPERIENCE 1	Cobalt (Co)	31.5	ug/L
ECHANTILLON 0 - EXPERIENCE 1	Manganese  (Mn)	280	ug(Mn)/L
ECHANTILLON 0 - EXPERIENCE 1	Mercure (Hg)	5.07	ug/L
ECHANTILLON 0 - EXPERIENCE 1	Nickel (Ni)	1.5	ug/L
ECHANTILLON 0 - EXPERIENCE 1	Plomb (Pb)	0.05	ug/L
ECHANTILLON 1 - EXPERIENCE 1	Aluminium (Al)	412	ug/L
ECHANTILLON 1 - EXPERIENCE 1	Arsenic (As)	5.4	ug/L
ECHANTILLON 1 - EXPERIENCE 1	Cadmium (Cd)	8.5	ug/L
ECHANTILLON 1 - EXPERIENCE 1	Chrome Total (Cr)	8.8	ug/L
ECHANTILLON 1 - EXPERIENCE 1	Cobalt (Co)	144.2	ug/L
ECHANTILLON 1 - EXPERIENCE 1	Manganese  (Mn)	1291	ug(Mn)/L
ECHANTILLON 1 - EXPERIENCE 1	Mercure (Hg)	7.54	ug/L
ECHANTILLON 1 - EXPERIENCE 1	Nickel (Ni)	5.7	ug/L
ECHANTILLON 1 - EXPERIENCE 1	Plomb (Pb)	0.09	ug/L
ECHANTILLON 2 - EXPERIENCE 1	Aluminium (Al)	362	ug/L
ECHANTILLON 2 - EXPERIENCE 1	Arsenic (As)	4.9	ug/L
ECHANTILLON 2 - EXPERIENCE 1	Cadmium (Cd)	7.9	ug/L
ECHANTILLON 2 - EXPERIENCE 1	Chrome Total (Cr)	8.8	ug/L
ECHANTILLON 2 - EXPERIENCE 1	Cobalt (Co)	142.8	ug/L
ECHANTILLON 2 - EXPERIENCE 1	Manganese  (Mn)	1289	ug(Mn)/L
ECHANTILLON 2 - EXPERIENCE 1	Mercure (Hg)	5.79	ug/L
ECHANTILLON 2 - EXPERIENCE 1	Nickel (Ni)	5.6	ug/L
ECHANTILLON 2 - EXPERIENCE 1	Plomb (Pb)	0.07	ug/L
ECHANTILLON 3 - EXPERIENCE 1	Aluminium (Al)	263	ug/L
ECHANTILLON 3 - EXPERIENCE 1	Arsenic (As)	4	ug/L
ECHANTILLON 3 - EXPERIENCE 1	Cadmium (Cd)	7.3	ug/L
ECHANTILLON 3 - EXPERIENCE 1	Chrome Total (Cr)	9	ug/L
ECHANTILLON 3 - EXPERIENCE 1	Cobalt (Co)	140.6	ug/L
ECHANTILLON 3 - EXPERIENCE 1	Manganese  (Mn)	1249	ug(Mn)/L
ECHANTILLON 3 - EXPERIENCE 1	Mercure (Hg)	4.64	ug/L
ECHANTILLON 3 - EXPERIENCE 1	Nickel (Ni)	5.4	ug/L
ECHANTILLON 3 - EXPERIENCE 1	Plomb (Pb)	0.05	ug/L
ECHANTILLON 4 - EXPERIENCE 1	Aluminium (Al)	195	ug/L
ECHANTILLON 4 - EXPERIENCE 1	Arsenic (As)	3.5	ug/L
ECHANTILLON 4 - EXPERIENCE 1	Cadmium (Cd)	5.2	ug/L
ECHANTILLON 4 - EXPERIENCE 1	Chrome Total (Cr)	8.8	ug/L
ECHANTILLON 4 - EXPERIENCE 1	Cobalt (Co)	136.2	ug/L
ECHANTILLON 4 - EXPERIENCE 1	Manganese  (Mn)	1227	ug(Mn)/L
ECHANTILLON 4 - EXPERIENCE 1	Mercure (Hg)	1.57	ug/L
ECHANTILLON 4 - EXPERIENCE 1	Nickel (Ni)	5	ug/L
ECHANTILLON 4 - EXPERIENCE 1	Plomb (Pb)	0.05	ug/L
ECHANTILLON 5- EXPERIENCE 1	Aluminium (Al)	205	ug/L
ECHANTILLON 5- EXPERIENCE 1	Arsenic (As)	4.1	ug/L
ECHANTILLON 5- EXPERIENCE 1	Cadmium (Cd)	2.4	ug/L
ECHANTILLON 5- EXPERIENCE 1	Chrome Total (Cr)	8.9	ug/L
ECHANTILLON 5- EXPERIENCE 1	Cobalt (Co)	132.1	ug/L
ECHANTILLON 5- EXPERIENCE 1	Manganese  (Mn)	1186	ug(Mn)/L
ECHANTILLON 5- EXPERIENCE 1	Mercure (Hg)	0.22	ug/L
ECHANTILLON 5- EXPERIENCE 1	Nickel (Ni)	4.8	ug/L
ECHANTILLON 5- EXPERIENCE 1	Plomb (Pb)	0.05	ug/L
ECHANTILLON 0 - EXPERIENCE 2	Acetone	36150	ug/L
ECHANTILLON 0 - EXPERIENCE 2	Benzene	1500	ug/L
ECHANTILLON 0 - EXPERIENCE 2	Methanol	5928	ug/L
ECHANTILLON 0 - EXPERIENCE 2	Tetrachloroethylene	568	ug/L
ECHANTILLON 0 - EXPERIENCE 2	Trichloroethylene	2860	ug/L
ECHANTILLON 0 - EXPERIENCE 2	1,2 Dichloroethane	21200	ug/L
ECHANTILLON 0 - EXPERIENCE 2	1,2,3 Trichlorobenzene	71	ug/L
ECHANTILLON 0 - EXPERIENCE 2	1,2,4 Trichlorobenzene	405	ug/L
ECHANTILLON 1 - EXPERIENCE 2	Acetone	43294	ug/L
ECHANTILLON 1 - EXPERIENCE 2	Benzene	1500	ug/L
ECHANTILLON 1 - EXPERIENCE 2	Methanol	7105	ug/L
ECHANTILLON 1 - EXPERIENCE 2	Tetrachloroethylene	298	ug/L
ECHANTILLON 1 - EXPERIENCE 2	Trichloroethylene	3690	ug/L
ECHANTILLON 1 - EXPERIENCE 2	1,2 Dichloroethane	38000	ug/L
ECHANTILLON 1 - EXPERIENCE 2	1,2,3 Trichlorobenzene	64	ug/L
ECHANTILLON 1 - EXPERIENCE 2	1,2,4 Trichlorobenzene	255	ug/L
ECHANTILLON 2 - EXPERIENCE 2	Acetone	44834	ug/L
ECHANTILLON 2 - EXPERIENCE 2	Benzene	1450	ug/L
ECHANTILLON 2 - EXPERIENCE 2	Methanol	7063	ug/L
ECHANTILLON 2 - EXPERIENCE 2	Tetrachloroethylene	377	ug/L
ECHANTILLON 2 - EXPERIENCE 2	Trichloroethylene	4720	ug/L
ECHANTILLON 2 - EXPERIENCE 2	1,2 Dichloroethane	46200	ug/L
ECHANTILLON 2 - EXPERIENCE 2	1,2,3 Trichlorobenzene	51	ug/L
ECHANTILLON 2 - EXPERIENCE 2	1,2,4 Trichlorobenzene	158	ug/L
ECHANTILLON 3 - EXPERIENCE 2	Acetone	42733	ug/L
ECHANTILLON 3 - EXPERIENCE 2	Benzene	779	ug/L
ECHANTILLON 3 - EXPERIENCE 2	Methanol	7065	ug/L
ECHANTILLON 3 - EXPERIENCE 2	Tetrachloroethylene	231	ug/L
ECHANTILLON 3 - EXPERIENCE 2	Trichloroethylene	3650	ug/L
ECHANTILLON 3 - EXPERIENCE 2	1,2 Dichloroethane	41050	ug/L
ECHANTILLON 3 - EXPERIENCE 2	1,2,3 Trichlorobenzene	21	ug/L
ECHANTILLON 3 - EXPERIENCE 2	1,2,4 Trichlorobenzene	87	ug/L
ECHANTILLON 4 - EXPERIENCE 2	Acetone	38426	ug/L
ECHANTILLON 4 - EXPERIENCE 2	Benzene	163	ug/L
ECHANTILLON 4 - EXPERIENCE 2	Methanol	7148	ug/L
ECHANTILLON 4 - EXPERIENCE 2	Tetrachloroethylene	53	ug/L
ECHANTILLON 4 - EXPERIENCE 2	Trichloroethylene	950	ug/L
ECHANTILLON 4 - EXPERIENCE 2	1,2 Dichloroethane	15050	ug/L
ECHANTILLON 4 - EXPERIENCE 2	1,2,3 Trichlorobenzene	2.69	ug/L
